brick_id,x,y,z,length,width,height,orientation
422,0,700,2900,200,100,100,X-aligned
423,0,700,3000,200,100,100,X-aligned
424,0,700,3100,200,100,100,X-aligned
425,0,700,3200,200,100,100,X-aligned
426,0,700,3300,200,100,100,X-aligned
427,0,700,3400,200,100,100,X-aligned
428,0,700,3500,200,100,100,X-aligned
429,0,700,3600,200,100,100,X-aligned
430,0,700,3700,200,100,100,X-aligned
431,0,700,3800,200,100,100,X-aligned
432,0,700,3900,200,100,100,X-aligned
433,0,700,4000,200,100,100,X-aligned
434,0,700,4100,200,100,100,X-aligned
435,0,700,4200,200,100,100,X-aligned
436,0,700,4300,200,100,100,X-aligned
437,0,700,4400,200,100,100,X-aligned
438,0,700,4500,200,100,100,X-aligned
439,0,700,4600,200,100,100,X-aligned
440,0,700,4700,200,100,100,X-aligned
441,0,700,4800,200,100,100,X-aligned
442,0,700,4900,200,100,100,X-aligned
443,0,700,5000,200,100,100,X-aligned
444,0,700,5100,200,100,100,X-aligned
445,0,700,5200,200,100,100,X-aligned
446,0,700,5300,200,100,100,X-aligned
447,0,700,5400,200,100,100,X-aligned
448,0,700,5500,200,100,100,X-aligned
449,0,800,0,200,100,100,X-aligned
450,0,800,100,200,100,100,X-aligned
451,0,800,200,200,100,100,X-aligned
452,0,800,300,200,100,100,X-aligned
453,0,800,400,200,100,100,X-aligned
454,0,800,500,200,100,100,X-aligned
455,0,800,600,200,100,100,X-aligned
456,0,800,700,200,100,100,X-aligned
457,0,800,800,200,100,100,X-aligned
458,0,800,900,200,100,100,X-aligned
459,0,800,1000,200,100,100,X-aligned
460,0,800,1100,200,100,100,X-aligned
461,0,800,1200,200,100,100,X-aligned
462,0,800,1300,200,100,100,X-aligned
463,0,800,1400,200,100,100,X-aligned
464,0,800,1500,200,100,100,X-aligned
465,0,800,1600,200,100,100,X-aligned
466,0,800,1700,200,100,100,X-aligned
467,0,800,1800,200,100,100,X-aligned
468,0,800,1900,200,100,100,X-aligned
469,0,800,2000,200,100,100,X-aligned
470,0,800,2100,200,100,100,X-aligned
471,0,800,2200,200,100,100,X-aligned
472,0,800,2300,200,100,100,X-aligned
473,0,800,2400,200,100,100,X-aligned
474,0,800,2500,200,100,100,X-aligned
475,0,800,2600,200,100,100,X-aligned
476,0,800,2700,200,100,100,X-aligned
477,0,800,2800,200,100,100,X-aligned
478,0,800,2900,200,100,100,X-aligned
479,0,800,3000,200,100,100,X-aligned
480,0,800,3100,200,100,100,X-aligned
481,0,800,3200,200,100,100,X-aligned
482,0,800,3300,200,100,100,X-aligned
483,0,800,3400,200,100,100,X-aligned
484,0,800,3500,200,100,100,X-aligned
485,0,800,3600,200,100,100,X-aligned
486,0,800,3700,200,100,100,X-aligned
487,0,800,3800,200,100,100,X-aligned
